n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,ID,Old1
1,72,3,0,-464,1,1,1
2,76,5,1,424,1,1,1
3,16,6,1,472,1,1,1
4,21,0,0,-421,1,1,1
5,96,2,1,445,1,1,1
7,41,5,1,421,1,1,1
8,67,2,0,-449,1,1,1
9,11,6,1,458,1,1,1
11,26,6,0,-409,1,1,1
12,76,3,0,-453,1,1,1
13,1,6,0,-411,1,1,1
14,96,4,0,-484,1,1,1
15,85,5,1,423,1,1,1
17,23,5,1,460,1,1,1
18,91,3,1,451,1,1,1
19,39,5,1,407,1,1,1
20,63,5,1,464,1,1,1
21,52,6,0,-411,1,1,1
22,95,6,1,425,1,1,1
24,48,6,1,437,1,1,1
25,17,6,1,444,1,1,1
27,56,6,1,483,1,1,1
28,23,6,1,457,1,1,1
29,94,5,1,401,1,1,1
30,12,0,0,-467,1,1,1
32,42,4,0,-433,1,1,1
33,6,6,1,403,1,1,1
34,52,6,1,438,1,1,1
35,74,0,0,-431,1,1,1
36,86,6,0,-456,1,1,1
37,40,6,1,419,1,1,1
38,55,6,0,-500,1,1,1
40,93,6,0,-435,1,1,1
41,63,6,0,-470,1,1,1
42,7,0,0,-444,1,1,1
43,24,1,0,-490,1,1,1
44,51,4,1,461,1,1,1
46,74,4,1,493,1,1,1
47,25,6,1,436,1,1,1
48,89,5,1,407,1,1,1
1,61,6,1,454,1,1,0
2,5,1,1,446,1,1,0
3,12,2,0,-429,1,1,0
4,81,6,0,-497,1,1,0
5,70,5,1,493,1,1,0
7,21,4,1,477,1,1,0
8,84,6,0,-487,1,1,0
9,28,4,1,405,1,1,0
11,83,6,0,-454,1,1,0
12,75,5,0,-476,1,1,0
13,16,3,0,-479,1,1,0
14,43,6,0,-473,1,1,0
15,44,6,1,422,1,1,0
17,9,1,1,498,1,1,0
18,35,4,1,446,1,1,0
19,80,6,0,-439,1,1,0
20,58,6,0,-453,1,1,0
21,15,5,1,423,1,1,0
22,35,5,0,-488,1,1,0
24,60,6,1,404,1,1,0
25,75,4,0,-494,1,1,0
27,80,6,1,419,1,1,0
28,33,4,0,-443,1,1,0
29,57,5,0,-487,1,1,0
30,97,6,1,462,1,1,0
32,76,6,0,-412,1,1,0
33,10,2,0,-432,1,1,0
34,93,6,1,449,1,1,0
35,94,6,0,-474,1,1,0
36,7,3,0,-497,1,1,0
37,69,5,1,427,1,1,0
38,86,6,1,446,1,1,0
