n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,ID,Predicted_MC,Old1
1,29,3,1,403,0,1,403,1
2,53,4,0,-500,0,1,-500,1
3,90,4,0,-423,0,1,-428,1
4,11,4,1,423,0,1,419,1
5,84,3,1,476,0,1,489,1
7,54,6,0,463,0,1,-487,1
8,40,3,1,423,0,1,423,1
9,18,3,1,497,0,1,497,1
11,75,6,0,481,0,1,-464,1
12,78,4,1,436,0,1,496,1
13,91,4,0,-480,0,1,-422,1
14,82,3,1,-441,0,1,447,1
15,79,5,1,456,0,1,436,1
17,45,6,0,462,0,1,-407,1
18,44,3,1,408,0,1,408,1
19,77,4,1,416,0,1,416,1
20,67,3,0,-493,0,1,-435,1
21,50,3,0,-474,0,1,-474,1
22,86,5,1,-454,0,1,436,1
24,38,3,0,-496,0,1,-496,1
25,67,3,0,-492,0,1,-492,1
27,31,3,0,-482,0,1,-482,1
28,53,4,1,444,0,1,443,1
29,41,4,1,454,0,1,454,1
30,95,5,1,417,0,1,435,1
32,73,4,1,466,0,1,428,1
33,79,5,0,471,0,1,-459,1
34,11,4,0,-455,0,1,-455,1
35,51,3,0,-445,0,1,-445,1
36,10,3,1,441,0,1,441,1
37,72,4,1,413,0,1,478,1
38,1,3,0,-488,0,1,-488,1
40,44,3,0,-485,0,1,-485,1
41,45,3,1,481,0,1,481,1
42,47,3,1,477,0,1,477,1
43,95,4,0,-413,0,1,-413,1
44,75,3,0,-435,0,1,-449,1
46,27,6,1,-468,0,1,416,1
47,75,6,1,-460,0,1,471,1
48,19,3,1,432,0,1,432,1
1,12,3,0,-462,1,1,-462,1
2,59,4,0,-437,1,1,-402,1
3,69,3,1,-447,1,1,410,1
4,14,4,0,-482,1,1,-451,1
5,31,6,0,453,1,1,-406,1
7,54,2,0,-425,1,1,-425,1
8,22,5,1,470,1,1,470,1
9,26,2,0,-400,1,1,-400,1
11,47,6,0,485,1,1,-449,1
12,98,5,1,430,1,1,430,1
13,87,5,1,436,1,1,422,1
