uncertainty,seek/share,Market_change,Instr,Task1Seek,RealMC,ID_n
36,6,-489,1,1,-489,2
89,6,-498,1,1,-498,2
71,6,-448,1,1,-448,2
48,5,-406,1,1,-406,2
6,6,-418,1,1,-418,2
42,6,-427,1,1,-427,2
66,6,418,1,1,418,2
35,6,418,1,1,418,2
28,6,-438,1,1,-438,2
46,6,471,1,1,471,2
81,6,407,1,1,407,2
82,5,487,1,1,487,2
99,6,-498,1,1,-498,2
22,6,491,1,1,491,2
82,6,-485,1,1,-485,2
43,6,427,1,1,427,2
10,6,-432,1,1,-432,2
70,6,-473,1,1,-473,2
95,6,469,1,1,469,2
10,6,400,1,1,400,2
40,6,-499,1,1,-499,2
68,6,-473,1,1,-473,2
78,6,-494,1,1,-494,2
76,6,-434,1,1,-434,2
57,6,-495,1,1,-495,2
65,6,419,1,1,419,2
83,6,405,1,1,405,2
86,5,475,1,1,475,2
38,6,-490,1,1,-490,2
77,6,428,1,1,428,2
15,6,443,1,1,443,2
58,6,-418,1,1,-418,2
18,6,-417,1,1,-417,2
99,6,483,1,1,483,2
15,6,434,1,1,434,2
71,6,489,1,1,489,2
51,6,491,1,1,491,2
94,6,-420,1,1,-420,2
7,6,437,1,1,437,2
62,6,474,1,1,474,2
25,4,-440,0,1,-440,2
61,5,422,0,1,422,2
62,4,-494,0,1,-494,2
52,4,-477,0,1,-477,2
26,4,-425,0,1,-425,2
7,4,-448,0,1,-448,2
41,5,-440,0,1,-440,2
22,4,472,0,1,472,2
38,5,-413,0,1,-413,2
32,5,458,0,1,458,2
56,5,-413,0,1,-413,2
97,5,496,0,1,496,2
67,4,-491,0,1,-491,2
5,5,-450,0,1,-450,2
80,4,-482,0,1,-482,2
44,6,463,0,1,463,2
91,6,-494,0,1,-494,2
71,4,-484,0,1,-484,2
6,5,-490,0,1,-490,2
90,6,436,0,1,436,2
73,6,429,0,1,429,2
6,6,477,0,1,477,2
47,6,-435,0,1,-435,2
73,6,494,0,1,494,2
51,6,-412,0,1,-412,2
18,6,418,0,1,418,2
55,6,-472,0,1,-472,2
88,6,451,0,1,451,2
74,6,-460,0,1,-460,2
95,6,478,0,1,478,2
89,6,403,0,1,403,2
91,6,498,0,1,498,2
73,6,455,0,1,455,2
91,6,495,0,1,495,2
17,6,404,0,1,404,2
91,6,-434,0,1,-434,2
8,6,489,0,1,489,2
45,6,429,0,1,429,2
79,6,-437,0,1,-437,2
56,6,-492,0,1,-492,2
61,5,-500,1,1,-500,5
62,5,-425,1,1,-425,5
44,5,-438,1,1,-438,5
88,5,-444,1,1,-444,5
84,6,-404,1,1,-404,5
57,6,410,1,1,410,5
18,3,-417,1,1,-417,5
29,5,-436,1,1,-436,5
54,6,472,1,1,472,5
87,5,440,1,1,440,5
34,5,-428,1,1,-428,5
90,6,476,1,1,476,5
29,6,-402,1,1,-402,5
89,6,424,1,1,424,5
52,6,-479,1,1,-479,5
51,6,-418,1,1,-418,5
21,6,434,1,1,434,5
98,6,431,1,1,431,5
62,6,-488,1,1,-488,5
39,4,436,1,1,436,5
14,3,-427,1,1,-427,5
12,4,433,1,1,433,5
95,6,-431,1,1,-431,5
78,5,-459,1,1,-459,5
21,5,-497,1,1,-497,5
35,5,-477,1,1,-477,5
35,5,421,1,1,421,5
24,4,488,1,1,488,5
78,5,456,1,1,456,5
50,6,449,1,1,449,5
37,5,-484,1,1,-484,5
92,6,497,1,1,497,5
20,5,-433,1,1,-433,5
79,5,-483,1,1,-483,5
47,5,422,1,1,422,5
38,6,-491,1,1,-491,5
28,6,494,1,1,494,5
57,5,455,1,1,455,5
69,5,-431,1,1,-431,5
22,6,448,1,1,448,5
93,0,402,0,1,402,5
18,3,422,0,1,422,5
30,3,-422,0,1,-422,5
67,3,-464,0,1,-464,5
45,0,-488,0,1,-488,5
36,0,-436,0,1,-436,5
30,0,464,0,1,464,5
40,3,-452,0,1,-452,5
57,0,-406,0,1,-406,5
25,3,479,0,1,479,5
36,0,-468,0,1,-468,5
72,0,-491,0,1,-491,5
48,3,408,0,1,408,5
48,4,-427,0,1,-427,5
35,5,493,0,1,493,5
35,0,-459,0,1,-459,5
2,0,-428,0,1,-428,5
61,4,472,0,1,472,5
24,4,-459,0,1,-459,5
69,5,-470,0,1,-470,5
15,4,429,0,1,429,5
48,5,481,0,1,481,5
38,4,490,0,1,490,5
55,3,473,0,1,473,5
33,0,-479,0,1,-479,5
72,0,-428,0,1,-428,5
36,5,475,0,1,475,5
24,0,-422,0,1,-422,5
44,0,-463,0,1,-463,5
14,0,-442,0,1,-442,5
45,0,-479,0,1,-479,5
36,0,-411,0,1,-411,5
80,6,423,0,1,423,5
5,0,-493,0,1,-493,5
66,3,-488,0,1,-488,5
55,6,492,0,1,492,5
87,6,-420,0,1,-420,5
51,6,484,0,1,484,5
45,6,408,0,1,408,5
40,6,462,0,1,462,5
72,4,413,1,2,-500,8
33,2,-500,0,2,-500,8
16,0,-488,1,2,-488,8
49,4,434,1,2,-487,8
26,4,420,0,2,-474,8
22,3,-471,0,2,-471,8
47,2,-471,0,2,-471,8
82,4,-469,1,2,-469,8
25,4,424,0,2,-469,8
95,3,-420,0,2,-468,8
88,4,458,0,2,-467,8
33,2,-465,1,2,-465,8
70,4,410,1,2,-464,8
66,2,-464,1,2,-464,8
5,0,-459,1,2,-459,8
12,5,-457,1,2,-457,8
50,2,-427,1,2,-453,8
53,2,-444,0,2,-444,8
20,2,-439,0,2,-439,8
33,2,-439,0,2,-439,8
52,4,-421,0,2,-436,8
34,2,-432,0,2,-432,8
84,4,-491,0,2,-431,8
71,4,-481,0,2,-428,8
44,4,484,1,2,-419,8
37,3,-417,0,2,-417,8
55,2,-409,0,2,-409,8
62,3,432,1,2,-406,8
82,2,435,1,2,-404,8
67,4,461,0,2,-401,8
75,4,-448,0,2,400,8
22,2,405,1,2,405,8
66,2,401,0,2,409,8
89,4,-467,0,2,409,8
86,2,410,1,2,410,8
67,3,404,1,2,410,8
15,1,410,0,2,410,8
60,3,495,1,2,411,8
27,1,411,1,2,411,8
31,2,414,1,2,414,8
57,3,443,1,2,417,8
7,1,417,0,2,417,8
97,5,406,0,2,421,8
79,5,-499,0,2,423,8
26,2,424,1,2,424,8
12,2,425,0,2,425,8
67,3,-427,0,2,428,8
4,0,433,1,2,433,8
52,3,433,0,2,433,8
63,4,-422,1,2,434,8
75,3,499,0,2,434,8
66,3,439,1,2,439,8
66,4,-470,0,2,440,8
3,6,-451,1,2,444,8
56,4,-488,1,2,448,8
15,1,452,1,2,452,8
67,2,454,0,2,454,8
46,4,463,1,2,463,8
79,4,470,1,2,470,8
98,4,474,0,2,470,8
96,4,433,1,2,473,8
48,2,473,1,2,473,8
67,3,476,1,2,476,8
45,4,-475,0,2,476,8
64,3,415,1,2,478,8
30,1,482,1,2,482,8
12,2,482,0,2,482,8
52,3,486,1,2,486,8
33,2,487,0,2,487,8
89,4,-498,0,2,487,8
19,5,-402,1,2,488,8
87,4,479,0,2,488,8
7,1,489,0,2,489,8
97,5,-437,0,2,492,8
45,5,-431,1,2,494,8
43,3,496,1,2,496,8
70,4,-473,0,2,498,8
16,2,500,1,2,500,8
25,2,500,1,2,500,8
39,3,500,0,2,500,8
14,6,-499,1,2,-499,9
84,6,-402,1,2,-498,9
79,1,-438,0,2,-497,9
13,5,-443,0,2,-497,9
51,4,-495,0,2,-495,9
91,6,-492,1,2,-492,9
16,6,-434,0,2,-492,9
14,6,485,1,2,-489,9
10,6,-486,1,2,-486,9
45,6,-444,0,2,-485,9
6,4,-477,0,2,-477,9
60,2,-475,0,2,-475,9
72,6,470,1,2,-473,9
3,6,-470,1,2,-470,9
25,4,-468,0,2,-468,9
78,6,453,1,2,-467,9
88,4,-487,0,2,-466,9
66,5,-456,0,2,-456,9
83,6,-449,0,2,-449,9
13,6,-433,1,2,-433,9
32,6,430,1,2,-424,9
82,6,-424,0,2,-424,9
80,6,-411,1,2,-423,9
54,6,-417,1,2,-417,9
37,3,460,0,2,-412,9
83,6,-477,1,2,-408,9
49,6,-407,1,2,-407,9
9,6,-407,1,2,-407,9
21,6,-406,1,2,-406,9
13,4,-405,0,2,-405,9
45,6,-410,0,2,-405,9
76,6,-471,1,2,-402,9
78,6,-400,0,2,-400,9
77,6,-414,1,2,400,9
32,2,-451,0,2,400,9
83,6,483,1,2,402,9
68,6,404,0,2,404,9
55,6,456,1,2,407,9
64,6,-463,0,2,408,9
40,5,421,0,2,409,9
27,4,412,0,2,412,9
10,6,415,1,2,415,9
31,6,-413,0,2,421,9
36,6,422,1,2,422,9
50,6,422,0,2,422,9
39,5,-415,0,2,426,9
57,5,426,0,2,426,9
90,6,448,1,2,431,9
65,3,-456,0,2,433,9
44,6,441,1,2,434,9
79,6,490,0,2,434,9
75,6,422,0,2,435,9
76,6,450,1,2,437,9
