uncertainty,seek/sharing,Market_change,Instr,Task1Seek,ID_n
31,5,-419,1,1,6
93,4,-470,1,1,6
61,6,-418,1,1,6
56,6,442,1,1,6
34,6,464,1,1,6
57,5,487,1,1,6
61,6,-418,1,1,6
86,6,-488,1,1,6
78,6,446,1,1,6
1,1,464,1,1,6
7,5,-429,1,1,6
68,6,402,1,1,6
69,6,421,1,1,6
83,6,498,1,1,6
4,6,-482,1,1,6
67,6,483,1,1,6
68,4,-465,1,1,6
26,6,435,1,1,6
86,4,467,1,1,6
89,5,466,1,1,6
75,6,422,1,1,6
53,6,-439,1,1,6
43,6,451,1,1,6
88,4,430,1,1,6
75,6,-407,1,1,6
85,5,411,1,1,6
63,6,430,1,1,6
32,6,427,1,1,6
21,6,-449,1,1,6
61,5,-455,1,1,6
90,6,457,1,1,6
33,6,412,1,1,6
47,6,-465,1,1,6
88,6,477,1,1,6
83,6,-411,1,1,6
51,6,407,1,1,6
52,6,-416,1,1,6
42,6,-438,1,1,6
3,3,-466,1,1,6
89,6,441,1,1,6
94,5,435,0,1,6
92,6,496,0,1,6
62,6,-426,0,1,6
48,5,-425,0,1,6
99,6,-425,0,1,6
43,5,443,0,1,6
9,1,-468,0,1,6
21,4,-420,0,1,6
35,5,-445,0,1,6
27,5,-417,0,1,6
61,5,-491,0,1,6
33,6,-462,0,1,6
18,1,479,0,1,6
82,6,441,0,1,6
98,6,455,0,1,6
67,6,402,0,1,6
93,6,-447,0,1,6
82,5,-472,0,1,6
62,6,-421,0,1,6
54,5,-497,0,1,6
69,6,464,0,1,6
37,4,-480,0,1,6
47,6,-456,0,1,6
3,0,439,0,1,6
2,0,-492,0,1,6
80,6,-412,0,1,6
29,4,-430,0,1,6
57,5,492,0,1,6
15,2,426,0,1,6
33,4,417,0,1,6
49,6,-468,0,1,6
33,3,-444,0,1,6
79,6,449,0,1,6
88,6,-444,0,1,6
16,3,486,0,1,6
25,5,-457,0,1,6
68,4,-481,0,1,6
96,6,450,0,1,6
69,4,402,0,1,6
28,4,-445,0,1,6
71,6,-429,1,1,7
42,6,-486,1,1,7
50,6,-465,1,1,7
26,6,448,1,1,7
62,6,-421,1,1,7
56,6,-440,1,1,7
37,6,-472,1,1,7
96,6,-415,1,1,7
49,6,411,1,1,7
85,6,-484,1,1,7
40,6,-415,1,1,7
10,6,401,1,1,7
73,6,464,1,1,7
28,6,469,1,1,7
39,6,-460,1,1,7
52,6,425,1,1,7
26,6,430,1,1,7
3,6,426,1,1,7
1,6,-439,1,1,7
10,6,419,1,1,7
72,6,-476,1,1,7
31,6,-443,1,1,7
49,6,449,1,1,7
10,6,446,1,1,7
9,6,482,1,1,7
67,6,-450,1,1,7
35,6,-416,1,1,7
50,6,-471,1,1,7
63,6,-476,1,1,7
48,6,410,1,1,7
89,6,-476,1,1,7
28,6,-445,1,1,7
26,6,429,1,1,7
51,6,402,1,1,7
12,6,426,1,1,7
18,6,-450,1,1,7
89,6,-463,1,1,7
77,6,414,1,1,7
17,6,-405,1,1,7
23,6,457,1,1,7
58,6,-478,0,1,7
37,6,-452,0,1,7
10,6,-420,0,1,7
3,6,452,0,1,7
15,6,-435,0,1,7
36,6,-457,0,1,7
17,6,-499,0,1,7
48,6,460,0,1,7
80,6,482,0,1,7
27,6,467,0,1,7
79,6,447,0,1,7
6,6,-461,0,1,7
56,6,411,0,1,7
81,6,458,0,1,7
