n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
1,47,0,1,406,0,1,4,54b9acd9fdf99b34ce2578f9
2,33,3,0,-417,0,1,4,54b9acd9fdf99b34ce2578f9
3,91,4,0,-421,0,1,4,54b9acd9fdf99b34ce2578f9
4,36,1,0,-481,0,1,4,54b9acd9fdf99b34ce2578f9
5,91,0,1,421,0,1,4,54b9acd9fdf99b34ce2578f9
7,8,0,1,486,0,1,4,54b9acd9fdf99b34ce2578f9
8,44,3,1,400,0,1,4,54b9acd9fdf99b34ce2578f9
9,25,3,0,-496,0,1,4,54b9acd9fdf99b34ce2578f9
11,29,3,0,-463,0,1,4,54b9acd9fdf99b34ce2578f9
12,56,4,0,-458,0,1,4,54b9acd9fdf99b34ce2578f9
13,97,4,0,-443,0,1,4,54b9acd9fdf99b34ce2578f9
14,85,3,0,-468,0,1,4,54b9acd9fdf99b34ce2578f9
15,77,3,1,448,0,1,4,54b9acd9fdf99b34ce2578f9
17,14,3,0,-467,0,1,4,54b9acd9fdf99b34ce2578f9
18,87,5,1,457,0,1,4,54b9acd9fdf99b34ce2578f9
19,19,2,0,-418,0,1,4,54b9acd9fdf99b34ce2578f9
20,50,3,0,-468,0,1,4,54b9acd9fdf99b34ce2578f9
21,39,2,1,420,0,1,4,54b9acd9fdf99b34ce2578f9
22,65,3,0,-421,0,1,4,54b9acd9fdf99b34ce2578f9
24,95,4,1,426,0,1,4,54b9acd9fdf99b34ce2578f9
25,1,0,1,440,0,1,4,54b9acd9fdf99b34ce2578f9
27,23,3,1,444,0,1,4,54b9acd9fdf99b34ce2578f9
28,93,4,1,435,0,1,4,54b9acd9fdf99b34ce2578f9
29,59,4,0,-427,0,1,4,54b9acd9fdf99b34ce2578f9
30,37,2,1,418,0,1,4,54b9acd9fdf99b34ce2578f9
32,70,4,0,-470,0,1,4,54b9acd9fdf99b34ce2578f9
33,3,0,0,-410,0,1,4,54b9acd9fdf99b34ce2578f9
34,69,4,1,458,0,1,4,54b9acd9fdf99b34ce2578f9
35,49,3,0,-435,0,1,4,54b9acd9fdf99b34ce2578f9
36,21,0,0,-426,0,1,4,54b9acd9fdf99b34ce2578f9
37,91,5,1,451,0,1,4,54b9acd9fdf99b34ce2578f9
38,83,4,0,-462,0,1,4,54b9acd9fdf99b34ce2578f9
40,12,2,0,-479,0,1,4,54b9acd9fdf99b34ce2578f9
41,8,2,0,-454,0,1,4,54b9acd9fdf99b34ce2578f9
42,30,2,0,-486,0,1,4,54b9acd9fdf99b34ce2578f9
43,71,5,1,425,0,1,4,54b9acd9fdf99b34ce2578f9
44,62,4,1,487,0,1,4,54b9acd9fdf99b34ce2578f9
46,79,4,0,-473,0,1,4,54b9acd9fdf99b34ce2578f9
47,39,2,1,433,0,1,4,54b9acd9fdf99b34ce2578f9
48,74,4,1,500,0,1,4,54b9acd9fdf99b34ce2578f9
1,73,6,0,-494,1,1,4,54b9acd9fdf99b34ce2578f9
2,44,5,1,475,1,1,4,54b9acd9fdf99b34ce2578f9
3,14,3,1,413,1,1,4,54b9acd9fdf99b34ce2578f9
4,21,3,1,459,1,1,4,54b9acd9fdf99b34ce2578f9
5,84,6,0,-402,1,1,4,54b9acd9fdf99b34ce2578f9
7,6,3,1,500,1,1,4,54b9acd9fdf99b34ce2578f9
8,86,6,1,500,1,1,4,54b9acd9fdf99b34ce2578f9
9,13,4,1,468,1,1,4,54b9acd9fdf99b34ce2578f9
11,30,4,1,485,1,1,4,54b9acd9fdf99b34ce2578f9
12,37,4,1,488,1,1,4,54b9acd9fdf99b34ce2578f9
13,99,6,1,482,1,1,4,54b9acd9fdf99b34ce2578f9
14,89,6,0,-417,1,1,4,54b9acd9fdf99b34ce2578f9
15,38,5,0,-495,1,1,4,54b9acd9fdf99b34ce2578f9
17,89,6,0,-403,1,1,4,54b9acd9fdf99b34ce2578f9
18,2,3,0,-429,1,1,4,54b9acd9fdf99b34ce2578f9
19,18,5,1,412,1,1,4,54b9acd9fdf99b34ce2578f9
20,69,6,1,468,1,1,4,54b9acd9fdf99b34ce2578f9
21,3,3,0,-437,1,1,4,54b9acd9fdf99b34ce2578f9
22,22,5,0,-444,1,1,4,54b9acd9fdf99b34ce2578f9
24,81,6,0,-496,1,1,4,54b9acd9fdf99b34ce2578f9
25,92,6,0,-497,1,1,4,54b9acd9fdf99b34ce2578f9
27,73,6,0,-451,1,1,4,54b9acd9fdf99b34ce2578f9
28,75,6,1,492,1,1,4,54b9acd9fdf99b34ce2578f9
29,92,6,1,452,1,1,4,54b9acd9fdf99b34ce2578f9
30,64,5,0,-423,1,1,4,54b9acd9fdf99b34ce2578f9
32,33,5,0,-494,1,1,4,54b9acd9fdf99b34ce2578f9
33,39,5,1,407,1,1,4,54b9acd9fdf99b34ce2578f9
34,10,4,1,469,1,1,4,54b9acd9fdf99b34ce2578f9
35,7,3,1,438,1,1,4,54b9acd9fdf99b34ce2578f9
36,52,4,1,479,1,1,4,54b9acd9fdf99b34ce2578f9
