n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,ID,mc_model
1,41,5,0,-490,0,1,-425
2,67,3,1,418,0,1,418
3,23,3,1,404,0,1,415
4,85,3,1,496,0,1,406
5,28,3,1,411,0,1,411
7,91,6,0,-431,0,1,458
8,84,4,1,469,0,1,435
9,64,4,0,-452,0,1,-432
11,40,5,1,452,0,1,-474
12,40,3,0,-464,0,1,-430
13,13,2,1,404,0,1,404
14,11,2,1,410,0,1,410
15,91,4,0,-466,0,1,-466
17,73,3,1,426,0,1,426
18,76,3,0,-441,0,1,-485
19,42,2,0,-409,0,1,-400
20,78,2,0,-466,0,1,-471
21,86,4,1,419,0,1,419
22,83,6,1,485,0,1,-493
24,95,6,1,424,0,1,-454
25,64,6,0,-435,0,1,499
27,17,6,0,-421,0,1,438
28,2,2,1,484,0,1,484
29,22,3,1,411,0,1,411
30,11,2,1,484,0,1,484
32,84,4,0,-419,0,1,-466
33,96,4,0,-490,0,1,-475
34,41,4,1,444,0,1,444
35,63,5,1,469,0,1,469
36,11,2,0,-429,0,1,-429
37,21,3,1,455,0,1,455
38,93,4,1,478,0,1,461
40,14,3,1,408,0,1,408
41,61,4,0,-471,0,1,-447
42,57,4,0,-412,0,1,-412
43,15,3,0,-418,0,1,-418
44,65,3,1,410,0,1,462
46,50,3,1,456,0,1,487
47,95,4,0,-471,0,1,-450
48,78,5,0,-481,0,1,-481
1,44,5,1,410,1,1,410
2,73,6,0,-400,1,1,-400
3,65,5,1,412,1,1,490
4,3,1,0,-453,1,1,-453
5,52,5,0,-452,1,1,-452
7,61,5,1,406,1,1,422
8,45,4,1,414,1,1,414
9,77,5,0,-491,1,1,-475
11,33,4,1,433,1,1,-426
12,61,4,1,497,1,1,-417
13,77,6,1,493,1,1,-454
14,14,1,1,425,1,1,425
15,17,2,1,430,1,1,430
17,23,4,1,448,1,1,448
18,96,6,1,430,1,1,463
19,30,3,0,-485,1,1,-458
20,23,3,0,-414,1,1,-414
21,58,6,1,479,1,1,-450
22,65,6,0,-484,1,1,-484
24,3,1,0,-415,1,1,-415
25,88,5,0,-440,1,1,-460
27,35,4,0,-481,1,1,-481
28,76,5,1,422,1,1,422
29,68,6,0,-466,1,1,-466
30,17,1,0,-452,1,1,-452
32,97,5,1,431,1,1,-408
33,75,5,0,-479,1,1,-479
34,44,4,1,474,1,1,474
35,94,6,1,425,1,1,473
36,52,4,1,420,1,1,420
37,79,5,1,405,1,1,-476
38,57,5,0,-451,1,1,-421
40,96,6,1,406,1,1,423
41,28,3,0,-407,1,1,-407
42,24,3,1,453,1,1,450
43,74,6,0,-409,1,1,-409
44,59,6,0,-471,1,1,-471
46,96,4,1,483,1,1,400
47,6,1,1,409,1,1,409
48,84,4,0,-424,1,1,-406
1,53,6,1,456,0,2.00E+00,-481
2,52,6,0,-475,0,2.00E+00,471
3,17,6,0,-480,0,2.00E+00,492
4,82,6,0,-462,0,2.00E+00,-451
5,38,6,0,-430,0,2.00E+00,-430
7,75,6,0,-402,0,2.00E+00,463
8,17,6,0,-406,0,2.00E+00,-471
9,73,6,1,491,0,2.00E+00,495
11,19,6,1,446,0,2.00E+00,446
12,95,6,0,-406,0,2.00E+00,-431
13,49,6,0,-446,0,2.00E+00,-446
14,81,6,1,435,0,2.00E+00,412
15,62,6,0,-410,0,2.00E+00,-410
17,41,6,0,-461,0,2.00E+00,-461
18,25,6,0,-447,0,2.00E+00,-447
19,42,6,0,-490,0,2.00E+00,-425
20,26,6,1,432,0,2.00E+00,-470
21,79,6,0,-407,0,2.00E+00,-498
22,87,6,1,446,0,2.00E+00,437
24,66,6,0,-403,0,2.00E+00,-403
25,73,6,1,454,0,2.00E+00,-440
27,7,6,0,-500,0,2.00E+00,-500
28,6,6,0,-400,0,2.00E+00,-400
29,32,6,0,-491,0,2.00E+00,450
30,34,6,0,-473,0,2.00E+00,-473
32,99,6,1,470,0,2.00E+00,458
33,34,6,0,-415,0,2.00E+00,-415
34,14,6,1,470,0,2.00E+00,470
35,29,6,0,-442,0,2.00E+00,-442
36,51,6,1,462,0,2.00E+00,-469
37,71,6,0,-460,0,2.00E+00,-460
38,5,6,1,431,0,2.00E+00,431
40,79,6,0,-436,0,2.00E+00,-404
41,23,6,0,-427,0,2.00E+00,-427
42,32,6,0,-466,0,2.00E+00,-466
43,94,6,0,-470,0,2.00E+00,-430
44,40,6,1,492,0,2.00E+00,492
46,15,6,0,-470,0,2.00E+00,-470
47,34,6,0,-450,0,2.00E+00,-442
48,3,6,0,-481,0,2.00E+00,-481
1,43,6,1,471,1,2.00E+00,423
2,32,6,1,470,1,2.00E+00,470
3,84,6,1,496,1,2.00E+00,450
4,78,6,0,-437,1,2.00E+00,-427
5,56,6,0,-440,1,2.00E+00,406
7,89,6,0,-426,1,2.00E+00,477
8,16,6,1,434,1,2.00E+00,434
9,54,6,1,420,1,2.00E+00,420
11,56,6,0,-417,1,2.00E+00,-460
12,36,6,0,-457,1,2.00E+00,-457
13,25,6,0,-485,1,2.00E+00,-485
14,7,6,0,-461,1,2.00E+00,-461
15,4,6,0,-456,1,2.00E+00,-456
17,68,6,1,474,1,2.00E+00,-421
18,4,6,0,-460,1,2.00E+00,-460
19,70,6,0,-403,1,2.00E+00,-403
20,2,6,1,407,1,2.00E+00,407
21,3,6,0,-434,1,2.00E+00,-434
22,37,6,1,448,1,2.00E+00,448
24,2,6,0,-448,1,2.00E+00,-448
25,41,6,1,427,1,2.00E+00,427
27,89,6,1,482,1,2.00E+00,465
28,60,6,1,462,1,2.00E+00,-417
29,10,6,0,-475,1,2.00E+00,-400
30,99,6,1,413,1,2.00E+00,409
32,94,6,0,-405,1,2.00E+00,490
33,18,6,0,-476,1,2.00E+00,-476
34,78,6,0,-417,1,2.00E+00,-417
35,36,6,0,-494,1,2.00E+00,-494
36,87,6,1,448,1,2.00E+00,445
37,18,6,1,496,1,2.00E+00,496
38,34,6,0,-477,1,2.00E+00,-477
40,43,6,0,-451,1,2.00E+00,-451
41,32,6,0,-405,1,2.00E+00,-405
42,25,6,1,463,1,2.00E+00,417
43,41,6,0,-437,1,2.00E+00,-437
44,91,6,0,-491,1,2.00E+00,-423
46,25,6,0,-469,1,2.00E+00,-469
47,98,6,0,-484,1,2.00E+00,423
48,20,6,0,-424,1,2.00E+00,-424
1,53,6,1,439,0,3,-416
2,77,4,0,-474,0,3,-474
3,34,4,0,-448,0,3,-400
4,39,4,0,-425,0,3,-458
5,89,6,1,479,0,3,479
7,56,6,0,-411,0,3,476
8,47,6,0,-460,0,3,424
9,43,6,0,-407,0,3,466
11,24,4,1,440,0,3,440
12,82,6,1,433,0,3,-479
13,6,4,0,-441,0,3,-441
14,3,4,1,485,0,3,485
15,1,4,1,489,0,3,489
17,85,6,1,494,0,3,-409
18,88,4,1,486,0,3,490
19,55,4,0,-410,0,3,-410
20,52,6,0,-401,0,3,444
21,60,4,0,-417,0,3,-417
22,80,5,0,-400,0,3,-477
24,8,4,0,-478,0,3,-478
25,11,4,0,-412,0,3,-412
27,92,6,1,479,0,3,-421
28,97,6,1,410,0,3,-437
29,84,4,0,-420,0,3,-420
30,73,4,0,-422,0,3,-440
32,29,4,0,-472,0,3,-440
33,44,4,0,-451,0,3,-419
34,98,6,1,462,0,3,451
35,32,6,0,-480,0,3,431
36,76,4,0,-483,0,3,-483
37,74,6,0,-438,0,3,444
38,63,5,1,457,0,3,419
40,57,6,1,437,0,3,-400
41,64,6,1,419,0,3,419
42,8,4,0,-457,0,3,-457
43,35,4,0,-413,0,3,-413
44,19,4,0,-419,0,3,-427
46,70,4,0,-469,0,3,-425
47,84,6,1,406,0,3,-440
48,30,4,0,-463,0,3,-463
1,32,6,1,436,1,3,-462
2,22,5,1,407,1,3,407
3,99,6,1,460,1,3,490
4,86,6,1,465,1,3,472
5,89,6,1,495,1,3,498
7,59,6,0,-464,1,3,-497
8,48,6,1,410,1,3,-464
9,22,4,1,455,1,3,455
11,73,6,0,-416,1,3,-420
12,93,6,0,-482,1,3,-482
13,4,4,1,480,1,3,480
14,43,6,0,-412,1,3,-412
15,51,6,0,-424,1,3,408
17,52,6,1,407,1,3,407
18,58,6,1,456,1,3,-425
