n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID
1,78,6,1,430,0,1,4,1
2,5,6,0,-426,0,1,4,1
3,44,6,1,436,0,1,4,1
4,99,6,1,412,0,1,4,1
5,30,6,0,-412,0,1,4,1
7,35,6,1,456,0,1,4,1
8,96,6,0,-468,0,1,4,1
9,36,6,1,496,0,1,4,1
11,62,0,1,496,0,1,4,1
12,93,0,1,471,0,1,4,1
13,39,6,0,-449,0,1,4,1
14,88,6,0,-439,0,1,4,1
15,87,6,0,-496,0,1,4,1
17,86,6,0,-448,0,1,4,1
18,86,6,0,-497,0,1,4,1
19,26,6,1,462,0,1,4,1
20,24,6,1,422,0,1,4,1
21,17,6,1,483,0,1,4,1
22,81,6,1,460,0,1,4,1
24,20,6,1,403,0,1,4,1
25,15,6,0,-486,0,1,4,1
27,2,6,0,-482,0,1,4,1
28,36,6,0,-476,0,1,4,1
29,44,6,1,485,0,1,4,1
30,27,6,1,427,0,1,4,1
32,84,6,0,-420,0,1,4,1
33,98,6,0,-433,0,1,4,1
34,45,6,1,473,0,1,4,1
35,72,3,1,442,0,1,4,1
36,33,6,0,-410,0,1,4,1
37,55,6,0,-444,0,1,4,1
38,77,6,0,-493,0,1,4,1
40,3,6,0,-413,0,1,4,1
41,20,6,1,434,0,1,4,1
42,55,6,1,416,0,1,4,1
43,68,6,1,459,0,1,4,1
44,63,6,1,400,0,1,4,1
46,10,6,0,-443,0,1,4,1
47,62,6,0,-466,0,1,4,1
48,87,6,0,-478,0,1,4,1
1,61,6,1,462,1,1,4,1
2,65,6,1,408,1,1,4,1
3,11,6,0,-468,1,1,4,1
4,2,6,0,-463,1,1,4,1
5,37,6,1,405,1,1,4,1
7,92,6,1,435,1,1,4,1
8,12,6,1,481,1,1,4,1
9,42,6,0,-427,1,1,4,1
11,1,6,0,-488,1,1,4,1
12,99,6,1,485,1,1,4,1
13,5,6,0,-475,1,1,4,1
14,51,6,0,-488,1,1,4,1
15,17,6,1,419,1,1,4,1
17,98,6,0,-429,1,1,4,1
18,12,6,1,431,1,1,4,1
19,79,6,0,-418,1,1,4,1
20,46,6,0,-450,1,1,4,1
21,28,6,0,-493,1,1,4,1
22,86,6,1,431,1,1,4,1
24,46,6,1,498,1,1,4,1
25,72,6,1,431,1,1,4,1
27,43,6,1,473,1,1,4,1
28,52,6,1,459,1,1,4,1
29,58,6,1,419,1,1,4,1
30,37,6,0,-422,1,1,4,1
32,12,6,0,-422,1,1,4,1
33,73,6,1,453,1,1,4,1
34,28,6,0,-484,1,1,4,1
35,18,6,0,-448,1,1,4,1
36,37,6,0,-401,1,1,4,1
37,73,6,0,-479,1,1,4,1
38,62,6,1,472,1,1,4,1
40,89,6,1,436,1,1,4,1
41,32,6,0,-416,1,1,4,1
42,84,6,1,408,1,1,4,1
43,37,6,1,476,1,1,4,1
44,63,6,1,420,1,1,4,1
46,99,6,1,410,1,1,4,1
47,65,6,1,483,1,1,4,1
48,1,6,0,-409,1,1,4,1
1,8,0,0,-479,0,1,4,2
2,37,1,0,-420,0,1,4,2
3,27,0,0,-427,0,1,4,2
4,79,0,1,442,0,1,4,2
5,22,5,1,400,0,1,4,2
7,67,0,1,482,0,1,4,2
