n_trial,uncertainty,seek,mc_model,Instr
1,72,3,-464,1
2,76,5,424,1
3,16,6,472,1
4,21,0,-421,1
5,96,2,445,1
7,41,5,421,1
8,67,2,-449,1
9,11,6,458,1
11,26,6,-409,1
12,76,3,-453,1
13,1,6,-411,1
14,96,4,-484,1
15,85,5,423,1
17,23,5,460,1
18,91,3,451,1
19,39,5,407,1
20,63,5,464,1
21,52,6,-411,1
22,95,6,425,1
24,48,6,437,1
25,17,6,444,1
27,56,6,483,1
28,23,6,457,1
29,94,5,401,1
30,12,0,-467,1
32,42,4,-433,1
33,6,6,403,1
34,52,6,438,1
35,74,0,-431,1
36,86,6,-456,1
37,40,6,419,1
38,55,6,-500,1
40,93,6,-435,1
41,63,6,-470,1
42,7,0,-444,1
43,24,1,-490,1
44,51,4,461,1
46,74,4,493,1
47,25,6,436,1
48,89,5,407,1
1,61,6,454,1
2,5,1,446,1
3,12,2,-429,1
4,81,6,-497,1
5,70,5,493,1
7,21,4,477,1
8,84,6,-487,1
9,28,4,405,1
11,83,6,-454,1
12,75,5,-476,1
13,16,3,-479,1
14,43,6,-473,1
15,44,6,422,1
17,9,1,498,1
18,35,4,446,1
19,80,6,-439,1
20,58,6,-453,1
21,15,5,423,1
22,35,5,-488,1
24,60,6,404,1
25,75,4,-494,1
27,80,6,419,1
28,33,4,-443,1
29,57,5,-487,1
30,97,6,462,1
32,76,6,-412,1
33,10,2,-432,1
34,93,6,449,1
35,94,6,-474,1
36,7,3,-497,1
37,69,5,427,1
38,86,6,446,1
40,23,5,446,1
41,90,6,429,1
42,65,6,457,1
43,5,3,-406,1
44,63,6,438,1
46,54,6,477,1
47,91,6,-452,1
48,28,2,-416,1
1,99,6,-480,0
2,13,3,-495,0
3,53,5,-423,0
4,75,6,472,0
5,42,6,404,0
7,70,6,-411,0
8,4,0,-453,0
9,83,6,-477,0
11,50,5,490,0
12,36,4,-498,0
13,2,0,-480,0
14,47,6,-479,0
15,8,1,-424,0
17,81,6,458,0
18,27,4,478,0
19,23,4,-446,0
20,53,6,439,0
21,51,6,-484,0
22,53,6,-481,0
24,29,4,457,0
25,99,6,-486,0
27,47,5,410,0
28,33,5,-475,0
29,69,5,456,0
30,38,4,489,0
32,68,5,-484,0
33,5,0,-431,0
34,35,5,451,0
35,29,4,-498,0
36,97,6,-469,0
37,60,5,458,0
38,33,4,-434,0
40,81,5,-445,0
41,14,1,448,0
42,24,3,-423,0
43,10,1,-499,0
44,30,2,-434,0
46,24,3,483,0
47,44,5,-444,0
48,72,6,442,0
1,31,0,-420,0
2,77,3,-480,0
3,30,6,458,0
4,45,2,-489,0
5,19,6,421,0
7,17,0,-450,0
8,94,1,459,0
9,94,2,-467,0
11,54,5,438,0
12,26,6,493,0
13,68,3,403,0
14,94,3,478,0
15,50,1,-461,0
17,44,4,464,0
18,69,4,418,0
19,26,6,428,0
20,89,1,-499,0
21,88,1,-473,0
22,64,0,-475,0
24,73,0,-470,0
25,76,6,421,0
27,63,0,-424,0
28,51,0,-474,0
29,53,6,480,0
30,91,2,-437,0
32,99,3,-466,0
33,65,0,-456,0
34,60,0,-482,0
35,19,0,-480,0
36,77,6,444,0
37,41,3,417,0
38,53,6,472,0
40,93,4,459,0
41,86,5,420,0
42,71,5,462,0
43,65,2,-435,0
44,91,3,412,0
46,62,4,441,0
47,61,0,-478,0
48,86,6,475,0
1,35,0,-408,1
2,14,6,489,1
3,18,6,435,1
4,98,1,449,1
5,89,1,454,1
7,57,2,429,1
8,86,1,424,1
9,47,0,-447,1
11,84,0,-491,1
12,28,0,-433,1
13,67,4,-488,1
14,32,6,473,1
15,22,6,458,1
17,15,0,-476,1
18,65,0,-458,1
19,36,0,-400,1
20,3,0,-453,1
21,1,0,-488,1
22,71,2,467,1
24,71,1,-492,1
25,66,2,436,1
27,7,6,442,1
28,41,0,-428,1
29,72,2,413,1
30,1,0,-404,1
32,80,5,-475,1
33,23,5,415,1
34,36,5,401,1
35,87,1,477,1
36,63,1,-450,1
37,21,0,-445,1
38,75,2,430,1
40,55,0,-402,1
41,31,0,-469,1
42,8,6,411,1
43,11,6,412,1
44,72,3,-479,1
46,69,1,-427,1
47,48,4,416,1
48,41,5,442,1
1,49,6,460,0
2,26,6,473,0
3,39,6,-483,0
4,7,6,401,0
5,12,6,-426,0
7,57,6,451,0
8,27,6,-475,0
9,82,6,-473,0
