n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,Task1Seek,check,ID,Predicted_MC
1,56,6,0,458,0,2,4,1,-420
2,75,6,0,-411,0,2,4,1,-438
3,84,6,1,436,0,2,4,1,433
4,15,6,0,-456,0,2,4,1,-456
5,12,6,0,-458,0,2,4,1,-458
7,1,6,0,-487,0,2,4,1,-487
8,24,6,1,402,0,2,4,1,402
9,55,6,0,-477,0,2,4,1,-477
11,23,6,0,-425,0,2,4,1,-425
12,87,6,1,-499,0,2,4,1,468
13,42,6,1,490,0,2,4,1,490
14,89,6,1,412,0,2,4,1,434
15,93,6,1,-419,0,2,4,1,463
17,75,6,1,-496,0,2,4,1,471
18,6,6,0,-445,0,2,4,1,-445
19,96,6,0,437,0,2,4,1,-449
20,93,6,0,-480,0,2,4,1,-449
21,95,6,0,-486,0,2,4,1,-431
22,69,6,1,414,0,2,4,1,414
24,33,6,0,-459,0,2,4,1,-459
25,78,6,1,-412,0,2,4,1,475
27,7,6,1,493,0,2,4,1,493
28,23,6,0,-463,0,2,4,1,-463
29,17,6,0,-406,0,2,4,1,-406
30,39,6,0,-428,0,2,4,1,-428
32,80,6,1,472,0,2,4,1,490
33,94,6,0,456,0,2,4,1,-438
34,36,6,1,484,0,2,4,1,422
35,38,6,1,456,0,2,4,1,456
36,60,6,0,-445,0,2,4,1,-445
37,70,6,1,402,0,2,4,1,441
38,58,6,0,433,0,2,4,1,-424
40,13,6,0,-433,0,2,4,1,-433
41,30,6,1,459,0,2,4,1,459
42,74,6,1,439,0,2,4,1,439
43,15,6,0,-458,0,2,4,1,-458
44,59,6,0,402,0,2,4,1,-424
46,82,6,1,-482,0,2,4,1,464
47,60,6,0,-463,0,2,4,1,-463
48,7,6,0,-468,0,2,4,1,-468
1,34,6,0,-406,1,2,4,1,-419
2,5,6,1,457,1,2,4,1,457
3,71,6,1,416,1,2,4,1,416
4,22,6,0,445,1,2,4,1,-435
5,9,6,0,484,1,2,4,1,-493
7,74,6,1,-465,1,2,4,1,458
8,95,6,0,-491,1,2,4,1,-404
9,28,6,0,-492,1,2,4,1,-492
11,4,6,0,-419,1,2,4,1,-419
12,1,6,1,413,1,2,4,1,413
13,2,6,1,407,1,2,4,1,407
14,53,6,0,-442,1,2,4,1,-500
15,69,6,1,418,1,2,4,1,418
17,58,6,1,429,1,2,4,1,429
18,12,6,0,-429,1,2,4,1,-429
19,98,6,1,-430,1,2,4,1,437
20,71,6,1,434,1,2,4,1,434
21,47,6,1,-429,1,2,4,1,461
22,78,6,1,449,1,2,4,1,449
24,3,6,0,-463,1,2,4,1,-463
25,65,6,1,-440,1,2,4,1,488
27,58,6,0,-443,1,2,4,1,-478
28,58,6,0,-447,1,2,4,1,-447
29,18,6,1,418,1,2,4,1,418
30,62,6,1,-434,1,2,4,1,470
32,86,6,1,465,1,2,4,1,492
33,53,6,0,-455,1,2,4,1,-455
34,10,6,0,-456,1,2,4,1,-456
35,88,6,0,-463,1,2,4,1,-463
36,75,6,1,405,1,2,4,1,405
37,14,6,1,415,1,2,4,1,415
38,74,6,1,495,1,2,4,1,421
40,36,6,0,-438,1,2,4,1,-438
41,32,6,0,-437,1,2,4,1,-437
42,4,6,1,413,1,2,4,1,413
43,21,6,0,-431,1,2,4,1,-431
44,88,6,0,448,1,2,4,1,-479
46,30,6,1,-496,1,2,4,1,459
47,19,6,0,-452,1,2,4,1,-452
48,47,6,0,-420,1,2,4,1,-451
1,19,0,0,-407,0,2,4,2,-407
2,18,0,1,433,0,2,4,2,433
3,70,0,0,492,0,2,4,2,-459
4,52,0,1,485,0,2,4,2,485
5,66,0,1,-476,0,2,4,2,409
7,63,0,1,461,0,2,4,2,410
8,83,0,1,-486,0,2,4,2,448
9,8,0,1,497,0,2,4,2,497
11,96,0,1,-452,0,2,4,2,490
12,44,0,1,440,0,2,4,2,431
13,89,0,1,432,0,2,4,2,478
14,60,0,0,-411,0,2,4,2,-411
15,70,0,0,-453,0,2,4,2,-453
17,5,0,0,-473,0,2,4,2,-473
18,35,0,1,424,0,2,4,2,424
19,30,0,0,-456,0,2,4,2,-456
20,12,0,0,-451,0,2,4,2,-451
21,16,0,1,438,0,2,4,2,438
