n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr
1,29,3,1,403,0
2,53,4,0,-500,0
3,90,4,0,-423,0
4,11,4,1,423,0
5,84,3,1,476,0
7,54,6,0,463,0
8,40,3,1,423,0
9,18,3,1,497,0
11,75,6,0,481,0
12,78,4,1,436,0
13,91,4,0,-480,0
14,82,3,1,-441,0
15,79,5,1,456,0
17,45,6,0,462,0
18,44,3,1,408,0
19,77,4,1,416,0
20,67,3,0,-493,0
21,50,3,0,-474,0
22,86,5,1,-454,0
24,38,3,0,-496,0
25,67,3,0,-492,0
27,31,3,0,-482,0
28,53,4,1,444,0
29,41,4,1,454,0
30,95,5,1,417,0
32,73,4,1,466,0
33,79,5,0,471,0
34,11,4,0,-455,0
35,51,3,0,-445,0
36,10,3,1,441,0
37,72,4,1,413,0
38,1,3,0,-488,0
40,44,3,0,-485,0
41,45,3,1,481,0
42,47,3,1,477,0
43,95,4,0,-413,0
44,75,3,0,-435,0
46,27,6,1,-468,0
47,75,6,1,-460,0
48,19,3,1,432,0
1,12,3,0,-462,1
2,59,4,0,-437,1
3,69,3,1,-447,1
4,14,4,0,-482,1
5,31,6,0,453,1
7,54,2,0,-425,1
8,22,5,1,470,1
9,26,2,0,-400,1
11,47,6,0,485,1
12,98,5,1,430,1
13,87,5,1,436,1
14,41,2,0,-473,1
15,17,2,0,-461,1
17,95,4,1,404,1
18,24,4,1,451,1
19,44,6,0,449,1
20,70,5,1,-401,1
21,97,2,0,-403,1
22,28,2,0,-463,1
24,40,3,1,400,1
25,64,4,1,471,1
27,33,3,0,-453,1
28,22,2,0,-482,1
29,49,3,0,-472,1
30,49,4,1,428,1
32,30,4,0,-444,1
33,82,3,1,408,1
34,87,6,0,438,1
35,46,3,0,-416,1
36,39,4,1,417,1
37,62,4,1,400,1
38,82,4,1,414,1
40,96,3,0,-452,1
41,19,3,0,-439,1
42,86,6,0,458,1
43,19,3,1,407,1
44,93,4,1,467,1
46,4,3,0,-494,1
47,3,3,1,407,1
48,49,3,0,-449,1
1,63,1,0,-453,1
2,52,3,1,479,1
3,37,1,1,-428,1
4,97,0,0,-402,1
5,26,6,0,-460,1
7,92,1,1,-452,1
8,9,6,1,498,1
9,70,1,0,-433,1
11,33,4,1,430,1
12,71,2,0,-488,1
13,10,5,1,-474,1
14,27,5,1,465,1
15,20,6,1,499,1
17,51,3,1,432,1
18,89,6,0,493,1
19,53,2,0,-461,1
20,98,0,0,-496,1
21,13,6,0,-475,1
22,98,0,0,447,1
24,67,3,1,-481,1
25,99,6,1,-472,1
27,57,2,0,-411,1
28,11,6,0,-500,1
29,19,4,1,445,1
30,7,6,0,-451,1
32,4,6,1,490,1
33,24,4,0,-451,1
34,76,1,0,406,1
35,64,0,1,-463,1
36,20,6,1,401,1
37,67,1,1,-493,1
38,56,2,1,-441,1
40,87,4,1,412,1
41,93,4,1,471,1
42,39,1,0,-446,1
43,44,3,0,-434,1
44,65,2,0,441,1
46,26,6,1,405,1
47,7,6,0,-428,1
48,79,4,1,469,1
1,48,2,1,427,0
2,7,6,0,-437,0
3,60,5,0,-500,0
4,86,6,0,400,0
5,33,1,1,471,0
7,47,3,1,404,0
8,55,2,0,481,0
9,64,1,0,-424,0
11,56,2,0,-477,0
12,81,6,0,442,0
13,19,0,0,-468,0
14,18,1,0,-418,0
15,47,6,0,466,0
17,53,4,0,-454,0
18,86,5,0,-400,0
19,89,5,1,409,0
20,3,0,1,403,0
21,87,6,1,-486,0
22,56,6,0,479,0
24,23,0,1,437,0
25,50,5,1,-482,0
27,65,1,0,-440,0
28,6,0,1,482,0
29,13,1,1,404,0
30,88,3,0,449,0
32,43,1,0,-462,0
33,75,1,1,439,0
34,6,0,1,448,0
35,52,2,1,455,0
36,52,2,0,-418,0
37,72,6,0,431,0
38,28,6,0,-462,0
40,56,5,0,-484,0
41,86,3,1,449,0
42,51,5,1,436,0
43,60,1,1,440,0
44,78,2,1,445,0
46,12,4,1,458,0
47,98,6,0,417,0
48,83,6,1,-434,0
1,89,5,0,448,0
2,92,0,0,-447,0
3,12,4,0,-423,0
4,38,6,1,426,0
5,97,6,0,475,0
7,63,2,0,-416,0
8,23,4,1,411,0
9,88,2,0,-422,0
11,96,2,1,-423,0
12,28,2,0,-491,0
13,27,3,0,-439,0
14,65,3,0,-479,0
15,79,1,1,-443,0
17,72,4,0,439,0
18,65,4,0,497,0
19,57,4,1,414,0
20,59,4,1,440,0
21,68,2,0,420,0
22,64,5,1,-469,0
24,62,3,1,-475,0
25,80,0,0,-402,0
27,45,3,1,408,0
28,48,3,0,-440,0
29,84,3,1,500,0
30,30,2,0,-428,0
32,13,3,1,439,0
33,23,4,1,482,0
34,73,0,0,-439,0
35,51,6,1,482,0
36,19,6,1,429,0
37,76,1,1,-424,0
38,86,1,0,-497,0
40,70,3,0,408,0
41,62,2,1,456,0
42,53,2,0,-466,0
43,2,6,1,443,0
44,27,4,0,-402,0
46,75,3,0,-464,0
47,34,3,0,491,0
48,24,3,0,-484,0
1,38,3,0,-421,0
2,72,5,1,493,0
3,56,6,0,412,0
4,94,5,0,-465,0
5,30,0,0,-454,0
7,98,4,0,-466,0
8,9,0,0,-478,0
9,80,2,1,448,0
11,59,1,0,-437,0
12,80,6,1,-464,0
13,51,4,0,-445,0
14,38,2,0,-462,0
15,4,0,1,474,0
17,26,6,1,-474,0
18,35,6,0,474,0
19,53,3,0,-479,0
20,79,0,0,-432,0
21,18,0,0,-475,0
22,45,4,1,499,0
24,49,3,1,452,0
25,38,4,1,487,0
27,35,2,0,-450,0
28,54,1,1,438,0
29,27,6,1,-477,0
30,76,5,0,-494,0
32,67,0,0,-419,0
33,10,0,0,-472,0
34,63,2,1,460,0
35,31,3,1,466,0
36,90,5,0,-490,0
37,2,0,0,-496,0
38,10,0,1,437,0
40,27,2,1,472,0
41,21,1,1,403,0
42,88,6,1,-472,0
43,39,4,0,-420,0
44,29,0,0,-402,0
46,63,4,0,-456,0
47,84,0,0,-460,0
48,61,3,1,411,0
1,83,6,0,465,1
2,37,6,1,-422,1
3,19,1,1,448,1
4,65,2,0,-473,1
5,42,1,1,424,1
7,66,1,1,495,1
8,68,1,1,440,1
9,76,1,0,-487,1
11,44,1,0,-408,1
12,24,6,1,-461,1
13,77,6,1,-459,1
14,50,1,1,417,1
15,69,1,0,-459,1
17,6,1,0,-406,1
